prefecture_id,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4,2024-5,2024-10,2024-11,2024-12,2025-1,2025-2,2024-10,2024-11,2024-12,2025-1,2025-2,2025-3,2025-4,2025-5
1,21698.0,20454.0,22119.0,21897.0,20543.0,21586.0,20375.0,20628.0,20908.0,20523.0,21139.0,21366.0,38484.0,20938.0,19757.0,21792.0,20569.0,20478.0,40276.99999999999,38763.99999999999,38943.99999999999
2,4240.0,3892.0,4244.0,3815.0,3679.0,4068.0,3797.0,3822.0,3808.0,3776.0,3749.0,3668.0,7130.0,3879.0,3755.0,3947.0,3602.0,3374.0,7471.999999999999,7219.999999999999,7208.999999999999
3,3732.0,3334.0,3818.0,3681.0,3671.0,3556.0,3622.0,3628.0,3885.0,3872.0,3825.0,3608.0,7126.0,4067.0,3692.0,4302.0,3627.0,3605.0,7175.999999999998,6862.999999999998,6887.999999999998
4,7822.0,7378.0,8249.0,7612.0,7383.0,7757.0,7719.0,7790.0,8009.0,7375.0,7420.0,7524.0,13640.0,7801.0,7555.0,7903.0,6974.0,7313.0,13980.999999999998,13636.999999999998,13697.999999999998
5,3224.0,3231.0,3337.0,3174.0,3119.0,3147.0,3050.0,3131.0,3148.0,2990.0,3209.0,3117.0,5444.0,3093.0,3194.0,3130.0,3270.0,2753.9999999999995,5563.000000000001,5458.000000000001,5559.000000000001
6,3617.0,3496.0,3680.0,3614.0,3236.0,3691.0,3423.0,3446.0,3299.0,3565.0,3608.0,3456.0,6230.0,3570.0,3231.0,3751.0,3640.0,3185.0,6442.999999999998,6176.999999999998,6228.999999999998
7,6450.0,6206.0,6752.0,6411.0,6445.0,6147.0,6187.0,6057.0,6316.0,6335.0,6528.0,6343.0,11542.0,6444.0,6142.0,6937.0,6181.0,6025.0,11759.0,11816.0,11886.0
8,9308.0,8810.0,8708.0,8398.0,8400.0,8862.0,8405.0,8354.0,9626.0,9044.0,8978.0,8616.0,16962.0,8848.0,9710.0,9336.0,8667.0,7825.0,18055.0,17421.0,17616.0
9,8251.0,7713.0,8142.0,7931.0,7514.0,8120.0,7665.0,7745.0,8165.0,8034.0,8360.0,8243.0,15000.0,8140.0,8250.0,8341.0,8295.0,7551.0,15770.000000000002,15127.000000000002,15356.000000000002
10,7913.0,7522.0,7708.0,7389.0,7217.0,7518.0,7132.0,7248.0,7665.0,7423.0,7805.0,7055.0,13464.0,7628.0,7963.0,7417.0,7534.0,6482.0,14165.000000000002,13880.000000000002,13961.000000000002
11,20272.0,19634.0,20868.0,19548.0,19365.0,20097.0,19903.0,20012.0,20714.0,21129.0,20420.0,20153.0,38990.0,20547.0,21432.0,21352.999999999996,19928.0,18794.0,40280.0,39990.0,40060.0
12,19661.0,18919.0,20401.0,19828.0,19198.0,19900.0,19423.0,19512.0,20551.0,20138.0,20473.0,20179.0,37734.0,19804.0,20223.0,20717.0,20724.0,18501.0,39135.0,38484.0,38910.0
13,47632.0,46705.0,49967.0,47983.0,44429.0,48489.0,46247.0,48370.0,47812.0,49588.0,52044.0,50553.0,94624.0,49614.0,47844.0,54132.0,51524.0,44661.0,98784.0,96373.0,97257.0
14,28356.0,26646.0,29495.0,28228.0,26782.0,29016.0,27287.0,27261.0,28213.0,28498.0,29536.0,28398.0,54754.0,29468.0,28204.0,29114.0,29325.0,26441.0,56922.0,55234.0,56097.0
15,7967.0,7701.0,6815.0,7432.0,8012.0,7754.0,7774.0,7759.0,7532.0,7234.0,7773.0,7724.0,12520.0,7033.0,7788.0,7205.0,7967.0,7333.0,12256.0,12396.0,12405.0
16,3163.0,3135.0,3204.0,3040.0,2892.0,3062.0,2954.0,3079.0,3363.0,3036.0,3254.0,3214.0,5866.0,3127.0,3341.0,3213.0,3221.0,2893.0,5989.999999999999,5911.999999999999,5836.999999999999
17,6507.0,5832.0,6522.0,6184.0,5916.0,6494.0,6195.0,6284.0,6372.0,6498.0,6597.0,6379.0,11990.0,6121.0,6305.0,7102.0,6503.0,5952.0,12692.999999999998,11896.999999999998,12045.999999999998
18,2610.0,2489.0,3190.0,3100.0,3167.0,3207.0,3090.0,2947.0,3575.0,3266.0,3415.0,3279.0,6356.0,3429.0,3427.0,3521.0,3169.000000000001,3225.0,6742.999999999999,6481.999999999999,6518.999999999999
19,3864.0,3741.0,3750.0,3624.0,3825.0,3913.0,3765.0,3655.0,3942.0,3836.0,3937.0,3968.0,7416.0,3844.0,3986.0,4130.0,3595.0,3878.0,7470.000000000001,7493.000000000001,7621.000000000001
20,2420.0,2401.0,2297.0,2344.0,2327.0,2489.0,2237.0,2364.0,2365.0,2377.0,2369.0,2257.0,4142.0,2322.0,2587.0,2277.0000000000005,2358.0,2313.0,4114.999999999999,3987.999999999999,3965.999999999999
21,5710.0,5489.0,5617.0,5529.0,5531.0,5769.0,5599.0,5652.0,5818.0,5472.0,5598.0,5633.0,10628.0,5476.0,6098.0,5592.0,5369.0,5479.0,10924.0,10505.0,10628.0
22,11624.0,10799.0,11258.0,11007.0,10575.0,11297.0,10507.0,10680.0,11108.0,10722.0,11080.0,10400.0,20356.0,11403.0,10735.0,11388.0,10563.0,9586.0,20987.0,20778.0,20829.0
23,26355.0,24935.0,24945.0,24716.0,24981.0,25669.0,24379.0,24838.0,24404.0,24200.0,25216.0,24419.0,45478.0,24912.0,24659.0,25169.0,24592.0,22314.0,48034.0,45844.0,46786.0
24,5585.0,5486.0,5278.0,5320.0,5363.0,5566.0,5283.0,5554.0,5394.0,5424.0,5316.0,5374.0,9822.0,5836.0,5231.0,5610.0,5188.0,5249.0,9873.0,9467.0,9940.0
25,4467.0,4750.0,4441.0,4437.0,4358.0,4265.0,4305.0,4196.0,4457.0,4338.0,4493.0,4807.0,8082.0,4685.0,4345.0,4508.0,4767.0,4389.0,8361.0,8004.0,8217.0
26,9844.0,9375.0,9765.0,9462.0,9249.0,9609.0,9391.0,9070.0,9311.0,8847.0,9499.0,9120.0,16672.0,9329.0,9042.0,9339.0,9388.0,8381.0,17299.0,16864.0,16884.0
27,33833.0,32531.0,32537.0,31547.0,31017.0,32823.0,31451.0,32259.0,33382.0,31764.0,32220.0,31302.0,61972.0,33475.0,31960.0,33009.0,32213.0,29914.0,63743.0,62221.0,62249.0
28,18230.0,18104.0,18021.0,17752.0,17017.0,18243.0,17095.0,17561.0,17957.0,17182.0,17981.0,17388.0,32602.0,18181.0,17633.0,17783.0,17691.0,16019.0,34351.0,33491.0,33481.0
29,4208.0,4151.0,4237.0,4101.0,4018.0,4202.0,3977.0,3904.0,4048.0,3972.0,4068.0,4000.0,7330.0,4183.0,3929.0,4220.0,3894.9999999999995,3926.0,7513.000000000003,7433.000000000003,7293.000000000003
30,3614.0,3734.0,3702.0,3406.0,3747.0,3571.0,3407.0,3465.0,3524.0,3430.0,3583.0,3498.0,6476.0,3537.0,3519.0,3826.0,3295.0000000000005,3272.0,6674.999999999999,6463.999999999999,6390.999999999999
31,2022.0,1862.0,1959.0,1815.0,1907.0,1946.0,1973.0,1974.0,1999.0,1858.0,2079.0,1928.0,3484.0,1905.0,1911.0,1960.0,2042.0000000000002,1793.9999999999998,3601.0000000000014,3633.0000000000014,3628.0000000000014
32,1890.0,1797.0,1874.0,1691.0,1809.0,1826.0,1841.0,1873.0,1628.0,1615.0,1727.0,1646.0,3050.0,1784.0,1555.9999999999998,1709.0,1719.0,1519.0,3015.000000000002,3143.000000000002,3153.000000000002
33,6997.0,6664.0,7226.0,6191.0,6792.0,7359.0,6795.0,6788.0,6425.0,6089.0,6511.0,6132.0,11872.0,6374.0,6309.0,6895.0,6136.0,5838.0,11851.0,11761.0,11568.0
34,10060.0,9359.0,9777.0,9815.0,9592.0,10083.0,9809.0,9885.0,9789.0,9921.0,10226.0,9941.0,18854.0,10016.0,9952.0,10238.0,9923.0,9604.0,19349.0,19083.0,19249.0
35,4692.0,4141.0,4360.0,4070.0,4136.0,4412.0,4242.0,4269.0,3910.0,3918.0,4145.0,3978.0,7488.0,4187.0,3804.0000000000005,4214.0,3911.0,3855.9999999999995,7666.999999999998,7545.999999999998,7592.999999999998
36,2356.0,2170.0,2278.0,2385.0,2269.0,2374.0,2181.0,2324.0,2290.0,2238.0,2310.0,2213.0,4248.0,2264.0,2360.0,2401.0,2186.0,2069.0,4354.999999999998,4309.999999999998,4268.999999999998
37,3181.0,3039.0,3187.0,3118.0,3133.0,3247.0,3060.0,2971.0,2919.0,2950.0,3072.0,3112.0,5682.0,2837.0,2994.0,3023.0,3020.0,3183.0,5696.0,5291.0,5422.0
38,4935.0,4688.0,4427.0,4216.0,4361.0,4475.0,4479.0,4580.0,4352.0,4357.0,4431.0,4225.0,8360.0,4354.0,4436.0,4480.0,4260.0,4114.0,8525.000000000002,8334.000000000002,8684.000000000002
39,2575.0,2599.0,2516.0,2411.0,2318.0,2424.0,2355.0,2428.0,2386.0,2276.0,2395.0,2234.0,4418.0,2441.0,2394.0,2422.0,2234.0000000000005,2081.0,4520.999999999998,4424.999999999998,4467.999999999998
40,18222.0,17718.0,18266.0,17811.0,18583.0,19419.0,18483.0,18355.0,18801.0,18135.0,18937.0,18206.0,35986.0,19309.0,18952.0,19672.0,17708.0,17462.0,37148.0,36698.0,37202.0
41,2777.0,2878.0,2642.0,2645.0,2838.0,2971.0,2786.0,2764.0,2691.0,2744.0,2770.0,2776.0,5204.0,2747.0,2879.0,2786.0,2547.0,2633.0,5529.0,5280.0,5462.0
42,4741.0,4469.0,4455.0,4389.0,4463.0,4728.0,4484.0,4708.0,4543.0,4546.0,4505.0,4074.0,8328.0,4749.0,4534.0,4755.0,4231.0,3895.0,8719.999999999998,8489.999999999998,8757.999999999998
43,6403.0,6097.0,6184.0,6146.0,6144.0,6457.0,6098.0,6164.0,6164.0,6273.0,6459.0,6268.0,11524.0,6686.0,6083.0,6854.0,5982.0,6007.0,11881.0,11813.0,11838.0
44,3888.0,3815.0,3941.0,3934.0,3836.0,4060.0,3914.0,3904.0,3951.0,3897.0,4160.0,3932.0,7658.0,4306.0,3953.0,4146.0,3943.0000000000005,3806.9999999999995,7920.000000000002,7787.000000000002,7989.000000000002
45,3758.0,3357.0,3701.0,3484.0,3427.0,3453.0,3382.0,3396.0,3315.0,3308.0,3305.0,3103.0,6404.0,3287.9999999999995,3473.0,3605.0,2956.0,3076.0,6534.999999999999,6270.999999999999,6386.999999999999
46,5620.0,5081.0,5527.0,5010.0,5598.0,5513.0,5377.0,5140.0,5185.0,4919.0,4797.0,4863.0,9208.0,5291.0,5027.0,5469.0,4223.000000000001,4613.0,10106.999999999998,9590.999999999998,9466.999999999998
47,4830.0,4495.0,4835.0,4556.0,4548.0,4840.0,4684.0,4713.0,4610.0,4648.0,4730.0,4704.0,8042.0,4393.0,4638.0,4906.0,4485.0,4337.0,8279.000000000002,7942.000000000002,8338.000000000002
