prefecture_id,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2024-1,2024-2,2024-3,2024-4,2024-5,2024-6,2024-7,2024-8
1,21387.0,19487.0,22073.0,20470.0,21109.0,22200.0,21372.0,20946.0,20789.0,19901.0,21694.0,20181.0,20361.0,20655.0,20357.0,20459.0
2,3877.0,3837.0,3880.0,3642.0,3953.0,4069.0,4062.0,3664.0,4004.0,3710.0,4052.0,3800.0,3789.0,3920.0,3969.0,3722.0
3,3629.0,3512.0,3611.0,3378.0,3678.0,3615.0,3687.0,3408.0,3805.0,3802.0,3852.0,3539.0,3564.0,3567.0,3467.0,3378.0
4,8079.0,7602.0,7632.0,7594.0,7608.0,7677.0,7677.0,7649.0,7464.0,7253.0,7594.0,7250.0,7311.0,6894.0,6871.0,6971.0
5,3236.0,2918.0,3507.0,3101.0,3316.0,3201.0,3242.0,3189.0,3387.0,3024.0,3143.0,3038.0,3139.0,3086.0,2834.0,2873.0
6,3338.0,3233.0,3724.0,3390.0,3499.0,3603.0,3375.0,3527.0,3675.0,3404.0,3617.0,3351.0,3403.0,3533.0,3517.0,3469.0
7,6426.0,5994.0,6181.0,6163.0,6173.0,6463.0,6490.0,6120.0,6271.0,5953.0,6170.0,6227.0,6297.0,6176.0,6224.0,6306.0
8,8861.0,7921.0,8767.0,8314.0,8410.0,9223.0,8930.0,8187.0,8760.0,7969.0,9062.0,8428.0,8623.0,8815.0,8618.0,8737.0
9,8163.0,7294.0,8502.0,7743.0,7778.0,7864.0,7873.0,7470.0,8209.0,7517.0,8287.0,7644.0,7873.0,7688.0,7633.0,7899.0
10,7753.0,6984.0,7884.0,7327.0,7828.0,7505.0,7820.0,7414.0,7479.0,6906.0,7607.0,7322.0,7403.0,7019.0,6962.0,6813.0
11,20458.0,18312.0,20327.0,19699.0,20534.0,19790.0,20385.0,19706.0,20554.0,19195.0,20485.0,20195.0,20265.0,19917.0,20235.0,20879.0
12,19208.0,17457.0,19580.0,18276.0,19312.0,19519.0,19843.0,18427.0,20496.0,18818.0,20219.0,19568.0,19994.0,19436.0,20475.0,19772.0
13,49725.0,43458.0,48555.0,47179.0,48533.0,46892.0,46633.0,45913.0,52257.0,46365.0,50525.0,48114.0,48998.0,47840.0,48299.0,48949.0
14,26759.0,25061.0,27228.0,26229.0,27335.0,27159.0,27266.0,26598.0,28736.0,26779.0,28947.0,27259.0,28122.0,27985.0,28297.0,28360.0
15,8054.0,7290.0,7817.0,7603.0,7894.0,7856.0,7987.0,7455.0,8006.0,7615.0,7351.0,7491.0,7500.0,7170.0,7585.0,7230.0
16,3215.0,2942.0,3330.0,3139.0,3162.0,2999.0,3034.0,2955.0,3283.0,2962.0,3086.0,3008.0,2933.0,2766.0,2850.0,2899.0
17,6647.0,6251.0,7055.0,6162.0,6143.0,6312.0,6348.0,6161.0,6566.0,6139.0,6842.0,6046.0,6195.0,6142.0,6121.0,6087.0
18,3053.0,3007.0,3181.0,3072.0,3066.0,3186.0,3149.0,2970.0,3122.0,3068.0,3455.0,3194.0,3231.0,3334.0,3352.0,3528.0
19,3782.0,3324.0,4010.0,3644.0,3612.0,3656.0,3818.0,3567.0,3671.0,3581.0,3635.0,3658.0,3786.0,3836.0,3717.0,3861.0
20,2485.0,2141.0,2578.0,2296.0,2572.0,2420.0,2379.0,2203.0,2360.0,2416.0,2389.0,2262.0,2240.0,2207.9999999999995,2252.9999999999995,2109.9999999999995
21,5666.0,5413.0,5738.0,5227.0,5486.0,5704.0,5828.0,5484.0,5572.0,5418.0,5714.0,5295.0,5418.0,5468.0,5580.0,5332.0
22,11170.0,10562.0,11265.0,10706.0,11197.0,10921.0,10910.0,10525.0,11130.0,10316.0,10947.0,10738.0,10789.0,10638.0,10980.0,11031.0
23,24325.0,22492.0,25563.0,23369.0,25394.0,24865.0,25380.0,23951.0,25120.0,23015.0,25571.0,23381.0,24323.0,23522.0,24246.0,23461.0
24,5419.0,5168.0,5447.0,5138.0,5517.0,5328.0,5637.0,5187.0,5460.0,5335.0,5386.0,4980.0,5453.0,5186.0,5320.0,5081.0
25,4596.0,3948.0,4367.0,4285.0,4562.0,4617.0,4509.0,4134.0,4928.0,4510.0,4789.0,4432.0,4645.0,5093.0,5050.0,4812.0
